CM_Id,BankName,Type,CharterType,Headquarters,FailureDate,InsuranceFund,TransactionType,TotalDeposits,TotalAssets
CM-1072,first national bank in cordell,COMMERCIAL BANK,FEDERAL,"CORDELL, OK",7/31/1986,FDIC,PAYOUT,22814,23026
CM-1073,the gering national bank & trust,COMMERCIAL BANK,FEDERAL,"GERING, NE",7/31/1986,FDIC,ACQUISITION,70580,70213
CM-1074,citizens state bank,COMMERCIAL BANK,STATE,"IOWA FALLS, IA",7/31/1986,FDIC,ACQUISITION,53474,53963
CM-1075,eden state bank,COMMERCIAL BANK,STATE,"EDEN, TX",7/31/1986,FDIC,ACQUISITION,13225,13340
CM-1076,the easton state bank,COMMERCIAL BANK,STATE,"ESTON, KS",8/7/1986,FDIC,ACQUISITION,17162,17197
CM-1077,the first nat bank & trust co. of el reno,COMMERCIAL BANK,FEDERAL,"EL RENO, OK",8/7/1986,FDIC,TRANSFER,44238,47182
CM-1078,graettinger state bank,COMMERCIAL BANK,STATE,"GRAETTINGER, IA",8/7/1986,FDIC,ACQUISITION,11459,11828
CM-1079,first citizens bank,COMMERCIAL BANK,STATE,"DALLAS, TX",8/7/1986,FDIC,ACQUISITION,105402,112668
CM-1080,medicine bow state bank,COMMERCIAL BANK,STATE,"MEDICINE BOW, WY",8/8/1986,FDIC,PAYOUT,4207,4810
CM-1081,peninsula fs&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"SOLDOTNA, AK",8/8/1986,FSLIC,TRANSFER,41337,42622
CM-1082,citizens national bank & trust co,COMMERCIAL BANK,FEDERAL,"OKLAHOMA CITY, OK",8/14/1986,FDIC,TRANSFER,183284,179081
CM-1083,the state exchange bank,COMMERCIAL BANK,STATE,"YATES CENTER, KS",8/14/1986,FDIC,ACQUISITION,26692,27813
CM-1084,mendon state bank,COMMERCIAL BANK,STATE,"MENDON, IL",8/20/1986,FDIC,ACQUISITION,17590,18891
CM-1085,united bank of minneapolis,COMMERCIAL BANK,STATE,"MINNEAPOLIS, KS",8/21/1986,FDIC,ACQUISITION,22069,22692
CM-1086,danbury bank,COMMERCIAL BANK,STATE,"DANBURY, TX",8/21/1986,FDIC,ACQUISITION,9635,9358
CM-1087,the first national bank in rifle,COMMERCIAL BANK,FEDERAL,"RIFLE, CO",8/21/1986,FDIC,PAYOUT,17465,17588
CM-1088,metropolitan fs&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"HIALEAH, FL",8/27/1986,FSLIC,MANAGEMENT,49937,49772
CM-1089,buena vista bank & trust company,COMMERCIAL BANK,STATE,"BUENA VISTA, CO",8/28/1986,FDIC,PAYOUT,30475,32769
CM-1090,american national bank of eastridge,COMMERCIAL BANK,FEDERAL,"CASPER, WY",8/28/1986,FDIC,PAYOUT,4055,4367
CM-1091,albany state bank,COMMERCIAL BANK,STATE,"ALBANY, MO",8/28/1986,FDIC,ACQUISITION,4921,4676
CM-1092,fairview state bank of fairview,COMMERCIAL BANK,STATE,"FAIRVIEW, OK",9/4/1986,FDIC,ACQUISITION,23700,24000
CM-1093,western bank,COMMERCIAL BANK,STATE,"MIDLAND, TX",9/4/1986,FDIC,ACQUISITION,70599,77432
CM-1094,central bank & trust of tulsa,COMMERCIAL BANK,STATE,"TULSA, OK",9/10/1986,FDIC,ACQUISITION,71573,80147
CM-1095,ramona  s&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"FILLMORE, CA",9/12/1986,FSLIC,TRANSFER,95957,108085
CM-1096,western s&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"DALLAS, TX",9/12/1986,FSLIC,MANAGEMENT,1806271,1960164
CM-1097,texas independence bank,COMMERCIAL BANK,STATE,"PASADENA, TX",9/18/1986,FDIC,ACQUISITION,11976,12252
CM-1098,texas bank & trust company,COMMERCIAL BANK,STATE,"LUBBOCK, TX",9/19/1986,FDIC,ACQUISITION,35812,39250
CM-1099,heritage national bank,COMMERCIAL BANK,FEDERAL,"RICHARDSON, TX",9/25/1986,FDIC,ACQUISITION,29998,33112
CM-1100,the home state bank,COMMERCIAL BANK,STATE,"LA CROSSE, KS",9/25/1986,FDIC,ACQUISITION,13596,14718
CM-1101,american bank & trust company,COMMERCIAL BANK,STATE,"LAFAYETTE, LA",9/26/1986,FDIC,ACQUISITION,191717,210925
CM-1102,missouri farmers bank,COMMERCIAL BANK,STATE,"MOUND CITY, MO",10/2/1986,FDIC,ACQUISITION,25440,25963
CM-1103,frontier national bank,COMMERCIAL BANK,FEDERAL,"VISTA, CA",10/2/1986,FDIC,ACQUISITION,10614,9913
CM-1104,century national bank,COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",10/2/1986,FDIC,TRANSFER,13503,15522
CM-1105,columbia community bank,COMMERCIAL BANK,STATE,"HERMISTON, OR",10/3/1986,FDIC,ACQUISITION,4977,5257
CM-1106,independent national bank,COMMERCIAL BANK,FEDERAL,"COVINA, CA",10/9/1986,FDIC,TRANSFER,27744,28334
CM-1107,unified savings bank,SAVINGS ASSOCIATION,FEDERAL/STATE,"NORTHRIDGE, CA",10/10/1986,FSLIC,MANAGEMENT,104759,102833
CM-1108,homestead s&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"WOODWARD, OK",10/10/1986,FSLIC,TRANSFER,149213,134982
CM-1109,valley state bank,COMMERCIAL BANK,STATE,"BAGGS, WY",10/17/1986,FDIC,PAYOUT,4611,5008
CM-1110,security national bank,COMMERCIAL BANK,FEDERAL,"ANCHORAGE, AK",10/23/1986,FDIC,ACQUISITION,41634,41829
CM-1111,stillwater community bank,COMMERCIAL BANK,STATE,"STILLWATER, OK",10/23/1986,FDIC,ACQUISITION,22641,22610
CM-1112,bank of gering,COMMERCIAL BANK,STATE,"GERING, NE",10/23/1986,FDIC,ACQUISITION,22157,24155
CM-1113,republic bank,COMMERCIAL BANK,STATE,"BLANCHARD, LA",10/31/1986,FDIC,ACQUISITION,39419,41684
CM-1114,sedgwick county bank,COMMERCIAL BANK,STATE,"JULESBURG, CO",11/5/1986,FDIC,TRANSFER,3665,3825
CM-1115,first stock yards bank,COMMERCIAL BANK,STATE,"ST. JOSEPH, MO",11/6/1986,FDIC,ACQUISITION,31526,31589
CM-1116,the home bank,COMMERCIAL BANK,STATE,"SAVANNAH, MO",11/6/1986,FDIC,ACQUISITION,40088,39092
CM-1117,the first national bank & tr co.,COMMERCIAL BANK,FEDERAL,"ENID, OK",11/6/1986,FDIC,PAYOUT,96804,100115
CM-1118,the citizens state bank,COMMERCIAL BANK,STATE,"DONNA, TX",11/6/1986,FDIC,ACQUISITION,27793,27468
CM-1119,metropolitan bank & trust company,COMMERCIAL BANK,STATE,"BATON ROUGE, LA",11/7/1986,FDIC,ACQUISITION,69201,70053
CM-1120,chokio state bank,COMMERCIAL BANK,STATE,"CHOKIO, MN",11/7/1986,FDIC,ACQUISITION,10959,11917
CM-1121,the hoxie state bank,COMMERCIAL BANK,STATE,"HOXIE, KS",11/13/1986,FDIC,ACQUISITION,33362,35821
CM-1122,the bank of northern california,COMMERCIAL BANK,STATE,"SAN JOSE, CA",11/14/1986,FDIC,ACQUISITION,15774,16095
CM-1123,first national bank of temple,COMMERCIAL BANK,FEDERAL,"TEMPLE, OK",11/14/1986,FDIC,TRANSFER,7124,7346
CM-1124,texana national bank of college,COMMERCIAL BANK,FEDERAL,"COLLEGE STATION, TX",11/20/1986,FDIC,ACQUISITION,11897,12085
CM-1125,norman bank of commerce,COMMERCIAL BANK,STATE,"NORMAN, OK",11/20/1986,FDIC,ACQUISITION,41632,43525
CM-1126,first national bank,COMMERCIAL BANK,FEDERAL,"WILLOWS, CA",11/20/1986,FDIC,ACQUISITION,59245,62962
CM-1127,panhandle bank & trust company,COMMERCIAL BANK,STATE,"BORGER, TX",12/4/1986,FDIC,ACQUISITION,99900,112074
CM-1128,hays state bank,COMMERCIAL BANK,STATE,"HAYS, KS",12/4/1986,FDIC,ACQUISITION,32252,27762
CM-1129,first national bank of stewartville,COMMERCIAL BANK,FEDERAL,"STEWARTVILLE, MN",12/4/1986,FDIC,ACQUISITION,18282,18475
CM-1130,firstsouth  fs&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"PINE BLUFF, AR",12/5/1986,FSLIC,TRANSFER,1500237,1680854
CM-1131,cordell national bank,COMMERCIAL BANK,FEDERAL,"CORDELL, OK",12/5/1986,FDIC,TRANSFER,73505,78649
CM-1132,the citizens bank of windsor,COMMERCIAL BANK,STATE,"WINDSOR, MO",12/9/1986,FDIC,ACQUISITION,24271,24790
CM-1133,first savings of america,SAVINGS ASSOCIATION,FEDERAL/STATE,"ORLAND PARK, IL",12/12/1986,FSLIC,MANAGEMENT,56013,46975
CM-1134,guaranty federal bank fsb,SAVINGS BANK,STATE,"CASPER, WY",12/12/1986,FSLIC,TRANSFER,73471,63780
CM-1135,landmark national bank,COMMERCIAL BANK,FEDERAL,"DENVER, CO",12/18/1986,FDIC,ACQUISITION,12756,12879
CM-1136,first bank & trust co.,COMMERCIAL BANK,STATE,"BOOKER, TX",12/18/1986,FDIC,TRANSFER,84607,94888
CM-1137,lago vista national bank,COMMERCIAL BANK,FEDERAL,"LAGO VISTA, TX",12/18/1986,FDIC,TRANSFER,12370,11862
CM-1138,lakeland state bank,COMMERCIAL BANK,STATE,"PEQUOT LAKES, MN",12/19/1986,FDIC,ACQUISITION,49145,49435
CM-1139,farmers state bank,COMMERCIAL BANK,STATE,"LUEDERS, TX",12/19/1986,FDIC,ACQUISITION,9243,9695
CM-1140,the security nat bk & tr co. of norman,COMMERCIAL BANK,FEDERAL,"NORMAN, OK",1/8/1987,FDIC,ACQUISITION,171175,198716
CM-1141,american national bank of grand junction,COMMERCIAL BANK,FEDERAL,"GRAND JUNCTION, CO",1/8/1987,FDIC,TRANSFER,7242,7669
CM-1142,bowie national bank,COMMERCIAL BANK,FEDERAL,"BOWIE, TX",1/8/1987,FDIC,ACQUISITION,12406,12253
CM-1143,state bank of cuba,COMMERCIAL BANK,STATE,"CUBA, IL",1/9/1987,FDIC,ACQUISITION,17717,18275
CM-1144,first charter bank,COMMERCIAL BANK,STATE,"DENVER, CO",1/15/1987,FDIC,ACQUISITION,9347,10125
CM-1145,the first national bank of skiatook,COMMERCIAL BANK,FEDERAL,"SKIATOOK, OK",1/15/1987,FDIC,ACQUISITION,13566,13988
CM-1146,latimer bank & trust,COMMERCIAL BANK,STATE,"LATIMER, IA",1/15/1987,FDIC,ACQUISITION,21988,23230
CM-1147,the first national bank of rush springs,COMMERCIAL BANK,FEDERAL,"RUSH SPRINGS, OK",1/15/1987,FDIC,ACQUISITION,12502,12827
CM-1148,umpqua s&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"ROSEBURG, OR",1/16/1987,FSLIC,PAYOUT,88486,108213
CM-1149,first s&la of burkburnett,SAVINGS ASSOCIATION,FEDERAL/STATE,"BURKBURNETT, TX",1/16/1987,FSLIC,TRANSFER,74124,204538
CM-1150,national bank of frederick,COMMERCIAL BANK,FEDERAL,"FREDERICK, OK",1/22/1987,FDIC,TRANSFER,22368,23821
CM-1151,first sierra bank,COMMERCIAL BANK,STATE,"BISHOP, CA",1/23/1987,FDIC,TRANSFER,22996,23227
CM-1152,north america  s&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"SANTA ANNA, CA",1/23/1987,FSLIC,PAYOUT,220504,220304
CM-1153,the first national bank of marlborough,COMMERCIAL BANK,FEDERAL,"MARLBOROUGH, MA",1/23/1987,FDIC,TRANSFER,55881,60731
CM-1154,the la pryor state bank,COMMERCIAL BANK,STATE,"LA PRYOR, TX",1/29/1987,FDIC,ACQUISITION,5444,5695
CM-1155,first state bank of pattonsburg,COMMERCIAL BANK,STATE,"PATTONBURG, MO",1/29/1987,FDIC,PAYOUT,5779,5915
CM-1156,peoples bank & trust company,COMMERCIAL BANK,STATE,"HOLDENVILLE, OK",1/29/1987,FDIC,ACQUISITION,18791,20176
CM-1157,bear creek national bank,COMMERCIAL BANK,FEDERAL,"BEAR CREEK, TX",1/29/1987,FDIC,ACQUISITION,25970,26593
CM-1158,"montgomery county bank, N.A.",COMMERCIAL BANK,FEDERAL,"THE WOODLANDS, TX",1/29/1987,FDIC,ACQUISITION,47634,
CM-1159,the farmers national bank of remington,COMMERCIAL BANK,FEDERAL,"REMINGTON, IN",1/29/1987,FDIC,ACQUISITION,33499,34717
CM-1160,market national bank,COMMERCIAL BANK,FEDERAL,"DENVER, CO",2/5/1987,FDIC,TRANSFER,9377,8724
CM-1161,state bank of allison,COMMERCIAL BANK,STATE,"ALLISON, IA",2/5/1987,FDIC,ACQUISITION,16993,17353
CM-1162,boulevard state bank,COMMERCIAL BANK,STATE,"WICHITA, KS",2/5/1987,FDIC,ACQUISITION,89631,102271
CM-1163,sunbelt national bank,COMMERCIAL BANK,FEDERAL,"DALLAS, TX",2/5/1987,FDIC,PAYOUT,11780,11380
CM-1164,community bank,COMMERCIAL BANK,STATE,"SEILING, OK",2/11/1987,FDIC,ACQUISITION,5373,5144
CM-1165,federated national bank,COMMERCIAL BANK,FEDERAL,"LIVE OAK, TX",2/12/1987,FDIC,PAYOUT,12392,13632
CM-1166,security national bank,COMMERCIAL BANK,FEDERAL,"MIDLAND, TX",2/12/1987,FDIC,PAYOUT,8813,8644
CM-1167,first city bank of atoka,COMMERCIAL BANK,STATE,"ATOKA, OK",2/12/1987,FDIC,ACQUISITION,12450,11622
CM-1168,"universal sa, FA",SAVINGS ASSOCIATION,FEDERAL/STATE,"CHICKASHA, OK",2/13/1987,FSLIC,PAYOUT,87976,
CM-1169,life savings of america,SAVINGS BANK,STATE,"ROCKFORD, IL",2/13/1987,FSLIC,TRANSFER,339245,342279
CM-1170,"first state bank of king city, MISSOURI",COMMERCIAL BANK,STATE,"KING CITY, MO",2/13/1987,FDIC,ACQUISITION,14503,
CM-1171,the county bank,COMMERCIAL BANK,STATE,"MANATEE COUNTY, FL",2/13/1987,FDIC,ACQUISITION,159572,187142
CM-1172,first state bank of atmore,COMMERCIAL BANK,STATE,"ATMORE, AL",2/19/1987,FDIC,ACQUISITION,12392,12365
CM-1173,hub city bank & trust company,COMMERCIAL BANK,STATE,"LAFAYETTE, LA",2/20/1987,FDIC,ACQUISITION,38209,37978
CM-1174,the first national bank of weslaco,COMMERCIAL BANK,FEDERAL,"WESLACO, TX",2/20/1987,FDIC,PAYOUT,73170,70708
CM-1175,first national bank of crosby,COMMERCIAL BANK,FEDERAL,"CROSBY, TX",2/26/1987,FDIC,ACQUISITION,8001,7797
CM-1176,farmers state bank,COMMERCIAL BANK,STATE,"HART, TX",2/26/1987,FDIC,ACQUISITION,9594,9803
CM-1177,the lewistown bank,COMMERCIAL BANK,STATE,"LEWISTOWN, IL",2/27/1987,FDIC,ACQUISITION,14938,15254
CM-1178,key s&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"ENGLEWOOD, CO",2/27/1987,FSLIC,TRANSFER,203684,241648
CM-1179,first fs&la of beloit,SAVINGS ASSOCIATION,FEDERAL/STATE,"BELOIT, KS",2/27/1987,FSLIC,TRANSFER,89654,82910
CM-1180,the first state bank,COMMERCIAL BANK,STATE,"ROCKFORD, IA",3/4/1987,FDIC,ACQUISITION,15205,15754
CM-1181,first national bank of sapulpa,COMMERCIAL BANK,FEDERAL,"SAPULPA, OK",3/5/1987,FDIC,ACQUISITION,7600,7460
CM-1182,first national bank in west concord,COMMERCIAL BANK,FEDERAL,"WEST CONCORD, MN",3/5/1987,FDIC,TRANSFER,8741,9068
CM-1183,liberty bank,COMMERCIAL BANK,STATE,"HOUSTON, TX",3/5/1987,FDIC,ACQUISITION,53860,57195
CM-1184,sealy national bank,COMMERCIAL BANK,FEDERAL,"SEALY, TX",3/5/1987,FDIC,ACQUISITION,7586,7670
CM-1185,western bank,COMMERCIAL BANK,STATE,"EL PASO, TX",3/12/1987,FDIC,ACQUISITION,46082,46701
CM-1186,the first national bank of olney,COMMERCIAL BANK,FEDERAL,"OLNEY, TX",3/12/1987,FDIC,ACQUISITION,17340,16684
CM-1187,expressway bank,COMMERCIAL BANK,STATE,"OKLAHOMA CITY, OK",3/12/1987,FDIC,ACQUISITION,20059,19089
CM-1188,plaza national bank,COMMERCIAL BANK,FEDERAL,"DEL RIO, TX",3/12/1987,FDIC,PAYOUT,33068,34250
CM-1189,beaver creek state bank,COMMERCIAL BANK,STATE,"BEAVER CREEK, MN",3/13/1987,FDIC,TRANSFER,7149,7269
CM-1190,victor s&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"MUSKOGEE, OK",3/13/1987,FSLIC,MANAGEMENT,505320,601315
CM-1191,united oklahoma bank,COMMERCIAL BANK,STATE,"OKLAHOMA CITY, OK",3/17/1987,FDIC,ACQUISITION,121959,171925
CM-1192,perpetual sb,SAVINGS ASSOCIATION,FEDERAL/STATE,"LOS ANGELES, CA",3/18/1987,FSLIC,MANAGEMENT,59674,62462
CM-1193,sweeney bank,COMMERCIAL BANK,STATE,"SWEENEY, TX",3/19/1987,FDIC,ACQUISITION,20071,19669
CM-1194,red river national bank in clarksville,COMMERCIAL BANK,FEDERAL,"CLARKSVILLE, TX",3/19/1987,FDIC,ACQUISITION,23367,22829
CM-1195,clarks fork national bank,COMMERCIAL BANK,FEDERAL,"FROMBERG, MT",3/19/1987,FDIC,ACQUISITION,8159,8423
CM-1196,first southern sa,SAVINGS ASSOCIATION,FEDERAL/STATE,"PASCAGOULA, MS",3/20/1987,FSLIC,TRANSFER,57202,47063
CM-1197,vernon s&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"VERNON, TX",3/20/1987,FSLIC,TRANSFER,1582967,1347012
CM-1198,new city bank,COMMERCIAL BANK,STATE,"ORANGE, CA",3/20/1987,FDIC,ACQUISITION,25847,26049
CM-1199,the madill bank & trust company,COMMERCIAL BANK,STATE,"MADILL, OK",3/20/1987,FDIC,ACQUISITION,39050,39630
CM-1200,first fs&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"HAGERSTOWN, MD",3/20/1987,FSLIC,TRANSFER,124677,95719
CM-1201,morocco state bank,COMMERCIAL BANK,STATE,"MOROCCO, IN",3/20/1987,FDIC,ACQUISITION,15779,16299
CM-1202,the first state bank in billings,COMMERCIAL BANK,STATE,"BILLINGS, OK",3/26/1987,FDIC,ACQUISITION,10308,10151
CM-1203,tallulah state bank & trust comp,COMMERCIAL BANK,STATE,"TALLULAH, LA",3/27/1987,FDIC,ACQUISITION,31357,31136
CM-1204,equitable s&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"STANTON, CA",3/27/1987,FSLIC,TRANSFER,83722,58927
CM-1205,the first national bank of herington,COMMERCIAL BANK,FEDERAL,"HERINGTON, KS",4/2/1987,FDIC,ACQUISITION,19866,20742
CM-1206,first national bank of braman,COMMERCIAL BANK,FEDERAL,"BRAMAN, OK",4/9/1987,FDIC,ACQUISITION,11728,12218
CM-1207,"the southwestern bank, N.A.",COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",4/9/1987,FDIC,ACQUISITION,14541,
CM-1208,commonwealth bank,COMMERCIAL BANK,STATE,"GLENDALE, CO",4/9/1987,FDIC,ACQUISITION,7696,7799
CM-1209,deer lodge bank & trust company,COMMERCIAL BANK,STATE,"DEER LODGE, MT",4/9/1987,FDIC,ACQUISITION,14148,15166
CM-1210,future s&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"ALBANY, OR",4/10/1987,FSLIC,TRANSFER,57710,57614
CM-1211,the citizens state bank,COMMERCIAL BANK,STATE,"BROWNSTOWN, IN",4/10/1987,FDIC,TRANSFER,27725,29049
CM-1212,bank of iron county,COMMERCIAL BANK,STATE,"PAROWAN, UT",4/10/1987,FDIC,ACQUISITION,19467,19827
CM-1213,southern floridabanc sa,SAVINGS ASSOCIATION,FEDERAL/STATE,"BOCA RATON, FL",4/16/1987,FSLIC,MANAGEMENT,256578,219068
CM-1214,"first commercial bank of texas,",COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",4/16/1987,FDIC,ACQUISITION,4685,
CM-1215,first state bank of forest city,COMMERCIAL BANK,STATE,"FOREST CITY, MO",4/16/1987,FDIC,PAYOUT,6830,6457
CM-1216,first bank of saginaw,COMMERCIAL BANK,STATE,"SAGINAW, TX",4/16/1987,FDIC,ACQUISITION,29945,30622
CM-1217,the peoples bank,COMMERCIAL BANK,STATE,"COLLINSVILLE, AL",4/22/1987,FDIC,ACQUISITION,11899,11896
CM-1218,the bank of north mississippi,COMMERCIAL BANK,STATE,"OAKLAND, MS",4/22/1987,FDIC,ACQUISITION,13820,14452
CM-1219,osceola state bank & trust company,COMMERCIAL BANK,STATE,"OSCEOLA, IA",4/23/1987,FDIC,ACQUISITION,7693,8590
CM-1220,north central national bank,COMMERCIAL BANK,FEDERAL,"AUSTIN, TX",4/23/1987,FDIC,TRANSFER,23093,23388
CM-1221,liberty fs&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"LEESVILLE, LA",4/24/1987,FSLIC,PAYOUT,150687,134936
CM-1222,heritage bank & trust,COMMERCIAL BANK,STATE,"SALT LAKE COUNTY, UT",4/29/1987,FDIC,TRANSFER,16225,17640
CM-1223,unitedbank-houston,COMMERCIAL BANK,STATE,"HOUSTON, TX",4/30/1987,FDIC,TRANSFER,183389,217304
CM-1224,peoples state bank,COMMERCIAL BANK,STATE,"TURKEY, TX",4/30/1987,FDIC,ACQUISITION,5837,5789
CM-1225,american bank of commerce,COMMERCIAL BANK,STATE,"DENVER, CO",5/6/1987,FDIC,ACQUISITION,24587,25504
CM-1226,north american national bank,COMMERCIAL BANK,FEDERAL,"LITTLETON, CO",5/7/1987,FDIC,TRANSFER,9008,9516
CM-1227,first state bank of sisseton,COMMERCIAL BANK,STATE,"SISSETON, SD",5/7/1987,FDIC,ACQUISITION,19350,20058
CM-1228,farmers state bank,COMMERCIAL BANK,STATE,"MADDOCK, ND",5/8/1987,FDIC,TRANSFER,11675,11864
CM-1229,moreauville state bank,COMMERCIAL BANK,STATE,"MOREAUVILLE, LA",5/8/1987,FDIC,ACQUISITION,16917,16813
CM-1230,the first national bank of elbow lake,COMMERCIAL BANK,FEDERAL,"ELBOW LAKE, MN",5/14/1987,FDIC,ACQUISITION,15712,14157
CM-1231,todd county state bank,COMMERCIAL BANK,STATE,"LONG PRAIRIE, MN",5/14/1987,FDIC,ACQUISITION,15150,15410
CM-1232,marlin national bank,COMMERCIAL BANK,FEDERAL,"MARLIN, TX",5/14/1987,FDIC,ACQUISITION,43669,39566
CM-1233,united bank,COMMERCIAL BANK,STATE,"LIBBY, MT",5/14/1987,FDIC,ACQUISITION,14434,15369
CM-1234,liberty s&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"NEW PORT RICHEY, FL",5/15/1987,FSLIC,MANAGEMENT,115467,98688
CM-1235,independent american sa,SAVINGS ASSOCIATION,FEDERAL/STATE,"IRVING, TX",5/20/1987,FSLIC,MANAGEMENT,1392604,1014023
CM-1236,bank of oak grove,COMMERCIAL BANK,STATE,"OAK GROVE, LA",5/21/1987,FDIC,ACQUISITION,23551,24019
CM-1237,"texas investment bank, N.A.",COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",5/21/1987,FDIC,TRANSFER,15268,
CM-1238,lake austin national bank,COMMERCIAL BANK,FEDERAL,"AUSTIN, TX",5/21/1987,FDIC,ACQUISITION,43348,43698
CM-1239,texas national bank-westheimer,COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",5/28/1987,FDIC,TRANSFER,26420,26342
CM-1240,first national bank of wilmont,COMMERCIAL BANK,FEDERAL,"WILMONT, MN",5/29/1987,FDIC,TRANSFER,11777,13330
CM-1241,the first state bank,COMMERCIAL BANK,STATE,"FRISCO, TX",6/4/1987,FDIC,ACQUISITION,43477,43341
CM-1242,united bank of texas,COMMERCIAL BANK,STATE,"AUSTIN, TX",6/4/1987,FDIC,TRANSFER,190365,208352
CM-1243,security savings association,SAVINGS ASSOCIATION,FEDERAL/STATE,"TEXARKANA, TX",6/11/1987,FSLIC,MANAGEMENT,478652,429813
CM-1244,first state bank,COMMERCIAL BANK,STATE,"MILFORD, TX",6/11/1987,FDIC,ACQUISITION,6869,7304
CM-1245,the benton state bank,COMMERCIAL BANK,STATE,"BENTON, KS",6/11/1987,FDIC,ACQUISITION,8750,9417
CM-1246,"northwest commercial bank, N.A.",COMMERCIAL BANK,FEDERAL,"HOUSTON, TX",6/11/1987,FDIC,ACQUISITION,14457,
CM-1247,frontier s&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"FAIRBANKS, AK",6/12/1987,FSLIC,TRANSFER,7990,7408
CM-1248,whittier thrift & loan,COMMERCIAL BANK,STATE,"WHITTIER, CA",6/12/1987,FDIC,ACQUISITION,14409,15206
CM-1249,hamilton county state bank,COMMERCIAL BANK,STATE,"LOCKLAND, OH",6/12/1987,FDIC,ACQUISITION,11524,13762
CM-1250,investors federal bank,SAVINGS BANK,STATE,"EL RENO, OK",6/18/1987,FSLIC,TRANSFER,96314,97509
CM-1251,first midwest bank,COMMERCIAL BANK,STATE,"MARYVILLE, MO",6/18/1987,FDIC,ACQUISITION,25691,25620
CM-1252,pelican state bank,COMMERCIAL BANK,STATE,"MANSFIELD, LA",6/24/1987,FDIC,ACQUISITION,7026,7188
CM-1253,eighty niner bank of coyle,COMMERCIAL BANK,STATE,"COYLE, OK",6/25/1987,FDIC,ACQUISITION,5995,6583
CM-1254,south denver national bank,COMMERCIAL BANK,FEDERAL,"GLENDALE, CO",6/25/1987,FDIC,ACQUISITION,61812,59565
CM-1255,lanesboro state bank,COMMERCIAL BANK,STATE,"LANESBORO, MN",6/26/1987,FDIC,ACQUISITION,10974,11391
CM-1256,liberty bank & trust company,COMMERCIAL BANK,STATE,"GREENWOOD, LA",6/26/1987,FDIC,ACQUISITION,12236,12588
CM-1257,united fs&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"DURANT, OK",6/29/1987,FSLIC,TRANSFER,78169,89797
CM-1258,citizens bank,COMMERCIAL BANK,STATE,"BRYAN, TX",7/2/1987,FDIC,ACQUISITION,44269,46400
CM-1259,bank of brazoria,COMMERCIAL BANK,STATE,"BRAZORIA, TX",7/2/1987,FDIC,ACQUISITION,23989,24475
CM-1260,"first continental bk of rockrimmon, N.A.",COMMERCIAL BANK,FEDERAL,"COLORADO SPRINGS, CO",7/9/1987,FDIC,ACQUISITION,5737,
CM-1261,red oak state bank,COMMERCIAL BANK,STATE,"RED OAK, TX",7/9/1987,FDIC,ACQUISITION,42459,44373
CM-1262,farmers & merchants bank,COMMERCIAL BANK,STATE,"EUFAULA, OK",7/23/1987,FDIC,ACQUISITION,13920,11499
CM-1263,"bank of los gatos, N.A.",COMMERCIAL BANK,FEDERAL,"LOS GATOS, CA",7/23/1987,FDIC,ACQUISITION,12893,
CM-1264,freedom s&la,SAVINGS ASSOCIATION,FEDERAL/STATE,"TAMPA, FL",7/23/1987,FSLIC,MANAGEMENT,1241839,1892038
CM-1265,the first national bank of yukon,COMMERCIAL BANK,FEDERAL,"YUKON, OK",7/30/1987,FDIC,TRANSFER,41938,40285
CM-1266,bank of granite,COMMERCIAL BANK,STATE,"GRANITE, OK",7/30/1987,FDIC,TRANSFER,13192,13164
CM-1267,empire national bank,COMMERCIAL BANK,FEDERAL,"LOS ANGELES, CA",7/30/1987,FDIC,PAYOUT,9626,8847
CM-1268,farmers state bank,COMMERCIAL BANK,STATE,"KANAWHA, IA",7/30/1987,FDIC,ACQUISITION,15347,15870
CM-1269,the security state bank,COMMERCIAL BANK,STATE,"DAVENPORT, OK",8/6/1987,FDIC,ACQUISITION,8756,9365
CM-1270,french market homestead,SAVINGS ASSOCIATION,FEDERAL/STATE,"METAIRIE, LA",8/6/1987,FSLIC,MANAGEMENT,302663,321057
